,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
46,xpt_FpiFpi_nnlo_logSq_sunset_alphaS_a4_FV,1.214(17),-0.00476(85),62.61175430191358,0.7865568316893975,0.7109854372971203,10,-0.0011(16),0.00029(49),,,,,,,,-18(16),-1.6(3.0),3.7(1.7),15(26),63(30)
47,xpt_FpiFpi_nnlo_alphaS_a4_FV,1.217(18),-0.00485(87),60.499691173213435,0.9413934022220884,0.5235735041046206,10,-0.0009(21),0.00099(53),,,,,,,,-20(16),-2.2(3.8),5.1(2.1),16(27),75(31)
48,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_bijnens,1.1972(49),-0.00428(71),55.063857482926046,1.3094427061773497,0.17490632765060565,0,0.00024(21),-0.00051(60),0.00029(14),0.00032(16),-0.0036(14),-0.00006(10),-0.00036(17),0.00020(10),,-7.6(1.6),0.09(1.62),4.1(1.4),,60(21)
49,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4,1.1990(51),-0.00433(71),54.2003906399951,1.2972046397917552,0.18270924149756326,0,-0.00023(33),0.0010(11),-1(290)e-06,0.00001(33),0.0010(28),-3(100)e-06,-0.00013(33),-0.00004(20),,-8.3(1.7),-0.4(2.1),5.5(1.7),,69(22)
50,xpt-ratio_FpiFpi_nnlo_logSq_sunset_a4,1.1987(52),-0.00433(71),55.34952132417985,1.249701386361804,0.21552599097045624,0,8(193)e-06,0.00026(58),,,,,,,,-8.2(1.8),0.2(2.1),6.80(87),,67(24)
51,xpt-ratio_FpiFpi_nnlo_a4,1.1999(53),-0.00436(71),55.26177366190197,1.2052563054118255,0.2499673078552458,0,-0.00013(20),0.00076(61),,,,,,,,-8.5(1.9),-0.3(2.3),8.5(1.0),,70(24)
52,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.205(17),-0.00450(84),53.817376169089506,1.3066519043405516,0.1766626792249613,0,0.00021(21),-0.00045(61),0.00028(14),0.00032(16),-0.0037(14),-0.00006(10),-0.00036(17),0.00020(10),,-15(16),-0.03(1.59),3.9(1.4),12(26),51(29)
53,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4,1.206(17),-0.00453(85),52.99655678302963,1.4090165403090738,0.1207099242322398,0,0.00022(33),-0.00050(99),-0.00003(29),-0.00006(33),-0.0031(25),3(100)e-06,-0.00011(33),-5(200)e-06,,-16(16),-0.3(1.5),3.6(1.7),13(26),53(30)
54,xpt-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_a4,1.206(17),-0.00453(85),54.08486214030906,1.2386648448722284,0.22373761455753152,0,-0.00002(20),0.00035(62),,,,,,,,-15(16),0.1(2.1),6.90(92),11(26),58(31)
55,xpt-ratio_FpiFpi_nnlo_alphaS_a4,1.205(17),-0.00451(85),53.95926054813714,1.1991708012090472,0.2549682335619849,0,-0.00015(21),0.00082(65),,,,,,,,-14(16),-0.3(2.3),8.6(1.1),8(26),64(31)
56,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.2009(49),-0.00439(71),60.479985835500536,0.7464378729228592,0.7567148294876254,10,0.00020(21),-0.00057(58),0.00028(14),0.00032(16),-0.0037(14),-0.00006(10),-0.00038(17),0.00020(10),,-8.4(1.6),0.3(1.4),2.7(1.3),,66(20)
57,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV,1.2016(51),-0.00441(71),59.55151697420456,0.8424087035045559,0.6442673568332491,10,0.00015(31),-0.00044(91),-0.00003(29),-0.00006(33),-0.0026(23),4(100)e-06,-0.00017(33),-0.00001(20),,-8.7(1.6),-0.02(1.31),2.6(1.4),,70(20)
58,xpt-ratio_FpiFpi_nnlo_logSq_sunset_a4_FV,1.2021(53),-0.00442(71),60.748877033998326,0.6908836828295079,0.8153250864139039,10,0.00001(18),0.00006(53),,,,,,,,-8.8(1.8),0.9(1.9),5.06(77),,70(23)
59,xpt-ratio_FpiFpi_nnlo_a4_FV,1.2033(53),-0.00445(71),60.64976337170693,0.6508181226540418,0.85322250258736,10,-0.00010(19),0.00051(56),,,,,,,,-9.0(1.8),0.6(2.0),6.65(86),,72(23)
60,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.212(17),-0.00469(85),59.335506354907686,0.7393814335643593,0.7644953594934735,10,0.00017(21),-0.00050(59),0.00028(14),0.00032(16),-0.0037(13),-0.00006(10),-0.00038(17),0.00020(10),,-19(15),0.09(1.32),2.3(1.2),17(26),53(29)
61,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,1.214(17),-0.00476(85),58.43892533663793,0.6977000642788442,0.8084860161104817,10,-0.00036(30),0.00120(96),-6(2897)e-07,0.00002(33),0.0017(26),-5(100)e-06,-0.00019(33),-0.00005(20),,-19(16),-0.06(1.90),4.0(1.7),17(26),62(30)
62,xpt-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_a4_FV,1.212(17),-0.00469(85),59.550547702171535,0.6704198035288129,0.8351901227719883,10,-0.00002(19),0.00018(57),,,,,,,,-18(16),0.8(1.9),5.16(81),15(26),58(30)
63,xpt-ratio_FpiFpi_nnlo_alphaS_a4_FV,1.211(17),-0.00467(85),59.38939158415005,0.6326778055570201,0.8689870991068881,10,-0.00014(20),0.00061(60),,,,,,,,-16(16),0.5(2.1),6.77(91),12(26),63(31)
