,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
351,xpt-ratio_FKFpi_nnlo_alphaS_a4_FV,1.208(17),-0.00459(84),60.06009600172844,0.5475072538018263,0.9301137773690288,10,-0.00031(24),0.00132(76),,,,,,,,-19(18),1.8(3.0),10.0(1.6),16(30),67(35)
352,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_bijnens,1.1856(29),-0.00396(69),55.66009076367058,1.7419696916265073,0.029271039092282288,0,0.00054(18),-0.00126(54),0.00028(14),0.00031(16),-0.0040(14),-0.00005(10),-0.00038(17),0.00020(10),,-3.02(20),3.3(1.4),5.8(1.6),,
353,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_bijnens,1.1972(49),-0.00428(71),55.063857482926046,1.3094427061773497,0.17490632765060565,0,0.00024(21),-0.00051(60),0.00029(14),0.00032(16),-0.0036(14),-0.00006(10),-0.00036(17),0.00020(10),,-7.6(1.6),0.09(1.62),4.1(1.4),,60(21)
354,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset,1.1857(29),-0.00396(69),54.857076125110645,1.807631370383081,0.021537885011527924,0,0.00058(31),-0.00137(93),-0.00003(29),-0.00007(33),-0.0035(26),9(100)e-06,-0.00017(33),-3(199)e-06,,-3.03(20),3.3(1.5),5.8(2.6),,
355,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4,1.1990(51),-0.00433(71),54.2003906399951,1.2972046397917552,0.18270924149756326,0,-0.00023(33),0.0010(11),-1(290)e-06,0.00001(33),0.0010(28),-3(100)e-06,-0.00013(33),-0.00004(20),,-8.3(1.7),-0.4(2.1),5.5(1.7),,69(22)
356,xpt-ratio_FpiFpi_nnlo_logSq_sunset,1.1856(29),-0.00396(69),55.99109802767188,1.7589884789263512,0.027054610789703996,0,0.00043(12),-0.00097(35),,,,,,,,-3.03(20),4.3(1.3),6.40(63),,
357,xpt-ratio_FpiFpi_nnlo_logSq_sunset_a4,1.1987(52),-0.00433(71),55.34952132417985,1.249701386361804,0.21552599097045624,0,8(193)e-06,0.00026(58),,,,,,,,-8.2(1.8),0.2(2.1),6.80(87),,67(24)
358,xpt-ratio_FpiFpi_nnlo,1.1861(28),-0.00397(69),55.51284957716725,1.7799137295978709,0.02453973020827871,0,0.00031(12),-0.00054(36),,,,,,,,-3.07(20),4.1(1.3),7.78(64),,
359,xpt-ratio_FpiFpi_nnlo_a4,1.1999(53),-0.00436(71),55.26177366190197,1.2052563054118255,0.2499673078552458,0,-0.00013(20),0.00076(61),,,,,,,,-8.5(1.9),-0.3(2.3),8.5(1.0),,70(24)
360,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_bijnens,1.219(14),-0.00489(82),56.19006138124136,1.4701052386531996,0.09489354683527312,0,0.00029(21),-0.00064(60),0.00028(14),0.00031(16),-0.0039(14),-0.00006(10),-0.00038(17),0.00020(10),,-31(12),1.0(1.5),4.3(1.5),43(18),
361,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.205(17),-0.00450(84),53.817376169089506,1.3066519043405516,0.1766626792249613,0,0.00021(21),-0.00045(61),0.00028(14),0.00032(16),-0.0037(14),-0.00006(10),-0.00036(17),0.00020(10),,-15(16),-0.03(1.59),3.9(1.4),12(26),51(29)
362,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS,1.217(13),-0.00484(80),55.424433953689224,1.6689603895014484,0.04077133486051954,0,0.00077(11),-0.00213(26),-0.00005(29),-0.00013(33),-0.00714(86),0.000021(93),-0.00011(33),0.00005(19),,-30(10),0.00009(3099),0.0004(310),41(16),
