,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
144,ma-ratio_FKFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1870(27),-0.00400(69),49.93108704188607,1.7927450047584208,0.023105377770398044,10,0.00051(22),-0.00147(54),0.00023(12),0.00020(11),-0.0054(14),-0.00009(10),-0.00033(17),0.00015(10),,-1.09(57),4.8(2.3),1.4(1.8),,
145,ma-ratio_FKFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1929(57),-0.00416(71),42.90500215479553,1.7074786017450898,0.03427671969509175,10,0.00035(26),-0.00113(62),0.00023(12),0.00021(11),-0.0053(14),-0.00010(10),-0.00032(17),0.00015(10),,-3.1(1.8),2.9(2.8),0.005(2.159),,30(25)
146,ma-ratio_FKFpi_nnlo_log_logSq_sunset_FV,1.1857(28),-0.00396(69),50.30146180077574,1.7374156086182857,0.02989153161255736,10,0.00079(30),-0.00223(79),-0.00002(24),-0.00005(22),-0.0070(23),0.000010(99),0.00004(34),0.00001(14),,-1.49(60),3.6(2.5),0.2(2.6),,
147,ma-ratio_FKFpi_nnlo_log_logSq_sunset_a4_FV,1.1915(57),-0.00412(71),43.26148397813732,1.6523255799485261,0.043902844919326584,10,0.00062(33),-0.00188(84),-0.00002(24),-0.00005(22),-0.0069(23),4(100)e-06,0.00008(34),0.00001(14),,-3.5(1.8),1.9(2.9),-0.8(2.6),,29(25)
148,ma-ratio_FKFpi_nnlo_logSq_sunset_FV,1.1891(24),-0.00406(69),48.11480185885493,2.064092585992261,0.0060548413568157385,10,0.00024(20),-0.00071(54),,,,,,,,-0.72(67),7.2(2.2),3.1(1.2),,
149,ma-ratio_FKFpi_nnlo_logSq_sunset_a4_FV,1.1964(71),-0.00426(72),41.017978367522545,1.9853238235177435,0.009040877338810692,10,-0.00002(30),-0.00005(80),,,,,,,,-2.6(1.8),4.9(3.0),2.5(1.3),,32(29)
150,ma-ratio_FKFpi_nnlo_FV,1.1908(24),-0.00410(69),47.18562182968847,2.1606887635764496,0.0036583337500723226,10,0.00014(20),-0.00033(55),,,,,,,,-0.54(68),7.4(2.2),4.5(1.1),,
151,ma-ratio_FKFpi_nnlo_a4_FV,1.1984(73),-0.00432(72),40.1191889605316,2.0772794720821595,0.00565674204385251,10,-0.00011(29),0.00033(80),,,,,,,,-2.5(1.8),5.1(3.1),4.0(1.2),,33(29)
152,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.199(17),-0.00433(84),47.09086539599054,1.7628395421004617,0.0265748019911022,10,0.00041(26),-0.00126(62),0.00023(12),0.00020(11),-0.0054(14),-0.00009(10),-0.00032(17),0.00015(10),,-12(16),3.9(2.6),0.4(2.2),17(24),
153,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.187(20),-0.00400(89),40.333477030566186,1.7026068408616246,0.03504302684192539,10,0.00037(27),-0.00117(63),0.00023(12),0.00021(11),-0.0053(14),-0.00010(10),-0.00032(17),0.00015(10),,3(22),2.9(2.8),0.2(2.3),-11(37),38(38)
154,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_FV,1.198(16),-0.00431(83),47.48068188848341,1.70251906388045,0.03505697461480866,10,0.00069(33),-0.00202(84),-0.00002(24),-0.00005(22),-0.0070(23),7(99)e-06,0.00006(34),0.00001(14),,-13(15),2.7(2.8),-0.6(2.7),18(24),
