,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol corr,L_4,L_5,A_a,A_k,A_p,A_loga
23,ma_FpiFpi_nnlo_FV_alphaS_logSq,1.1888(47),-0.00405(70),61.205468582772454,1.159110300420074,0.29291998325842783,10,,-0.00013(48),0.2(2.8),-0.9(1.7),1.92(16),1.4(4.2)
24,ma-ratio_FKFK_nnlo,1.1803(30),-0.00381(68),53.78529931609321,2.4229518230984435,0.0011749638684156554,0,0.0051(42),0.0015(13),-1.9(1.1),3.4(2.3),-1.0(1.6),
25,ma-ratio_FKFK_nnlo_logSq,1.1819(32),-0.00385(69),57.29434323992377,1.9490607620667169,0.012742708317500451,0,0.0035(41),0.0004(11),-1.8(1.3),3.2(2.5),-1.6(1.7),
26,ma-ratio_FKFK_nnlo_alphaS,1.1800(41),-0.00380(69),53.6138044206829,2.4225188765053063,0.0011776642233710835,0,0.0051(42),0.0015(13),-1.7(2.8),3.4(2.3),-1.1(1.7),-0.3(4.2)
27,ma-ratio_FKFK_nnlo_alphaS_logSq,1.1815(44),-0.00385(69),57.13580394157496,1.948342669365068,0.012785980060888371,0,0.0036(41),0.0004(11),-1.6(2.9),3.3(2.5),-1.6(1.7),-0.5(4.2)
28,ma-ratio_FKFK_nnlo_FV,1.1809(31),-0.00383(69),54.84884677405852,2.2519290256597526,0.002865049435100901,10,0.0037(37),0.0014(11),-1.5(1.2),2.7(2.5),-0.6(1.7),
29,ma-ratio_FKFK_nnlo_FV_logSq,1.1809(37),-0.00383(69),52.63755205140688,1.3656325190092495,0.14809721102328946,10,-0.00397(32),-0.00068(24),8.5(2.2),-3.4(2.4),1.3(1.0),
30,ma-ratio_FKFK_nnlo_FV_alphaS,1.1808(43),-0.00383(69),54.676464118674424,2.251853756624868,0.0028661531724875552,10,0.0037(38),0.0014(11),-1.5(2.9),2.8(2.6),-0.6(1.7),-0.2(4.2)
31,ma-ratio_FKFK_nnlo_FV_alphaS_logSq,1.1826(44),-0.00388(69),51.947794632690936,1.3117441466580468,0.17897591218508094,10,-0.00412(27),-0.00066(21),7.0(3.2),-4.1(2.1),0.9(1.2),4.1(4.2)
32,ma-ratio_FKFpi_nnlo,1.1843(31),-0.00392(69),53.49927329229618,2.5193316249474256,0.0007015755016541415,0,0.0056(43),0.0018(13),-1.54(94),2.2(1.9),0.3(1.1),
33,ma-ratio_FKFpi_nnlo_logSq,1.1879(35),-0.00402(69),56.31545014734784,2.1212919945925304,0.005533881532138693,0,0.0034(40),0.0005(10),-1.3(1.2),1.5(2.0),0.2(1.1),
