,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
169,xpt-ratio_FKFpi_nnlo_log_logSq_sunset_FV,1.1867(44),-0.00399(70),34.24742248198973,0.4107127694350308,0.94238486496937,10,-0.00158(29),0.00022(72),-5(236)e-06,-9(220)e-06,-0.0011(16),-3(1000)e-07,-0.00001(34),-2(143)e-06,,-4.81(71),-0.2(4.1),2.3(3.7),,
170,xpt-ratio_FKFpi_nnlo_logSq_sunset_FV,1.1850(47),-0.00394(70),21.85115607644846,2.893077030012705,0.001278606364959081,10,0.00407(26),0.00010(90),,,,,,,,-4.45(77),22.74(75),0.2(4.4),,
171,xpt-ratio_FKFpi_nnlo_FV,1.1843(46),-0.00392(69),20.694548935229115,3.1683433859169416,0.000452078724048655,10,0.00425(28),-0.00040(94),,,,,,,,-4.35(75),24.09(90),-0.6(4.3),,
172,xpt-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.1853(50),-0.00395(70),34.56017401033718,0.38107984340763656,0.9554787832366046,10,-0.00154(28),0.00016(71),0.00024(12),0.00022(11),-0.0026(12),-0.00010(10),-0.00034(17),0.00014(10),,-3.4(2.8),-2.1(3.7),0.4(3.3),-2.2(4.2),
173,xpt-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_FV,1.1855(50),-0.00396(70),34.20819186014853,0.3828998810414364,0.9547315671699024,10,-0.00159(29),0.00023(72),-5(236)e-06,-9(220)e-06,-0.0011(16),-3(1000)e-07,-0.00001(34),-2(143)e-06,,-3.4(2.8),-0.3(4.1),2.3(3.7),-2.2(4.2),
174,xpt-ratio_FKFpi_nnlo_logSq_sunset_alphaS_FV,1.1836(52),-0.00390(70),21.854641780338792,2.855918275163635,0.0014680014080772508,10,0.00407(26),0.00011(90),,,,,,,,-2.8(2.8),22.68(76),0.3(4.4),-2.6(4.2),
175,xpt-ratio_FKFpi_nnlo_alphaS_FV,1.1829(51),-0.00388(70),20.69679483370632,3.131346799741608,0.0005207049429133415,10,0.00424(28),-0.00039(94),,,,,,,,-2.7(2.8),24.03(91),-0.6(4.3),-2.6(4.2),
176,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_bijnens,1.1892(49),-0.00406(70),30.10201743273168,1.0472807451286958,0.4000357251161503,0,-0.00147(31),-0.00001(76),0.00029(14),0.00032(16),-0.0033(12),-0.00006(10),-0.00033(17),0.00020(10),,-4.20(79),-3.0(3.5),1.1(3.5),,
177,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset,1.1891(49),-0.00406(70),29.485681044450857,1.1007866938056474,0.35690542283381776,0,-0.00147(31),-0.00002(76),-10(288)e-06,-0.00003(32),-0.0021(16),-4(10000)e-08,0.00003(34),6(201)e-06,,-4.17(80),-2.4(4.0),1.7(3.8),,
178,xpt-ratio_FpiFpi_nnlo_logSq_sunset,1.1887(46),-0.00405(70),30.01819504416183,1.1507808360512313,0.3193457925115401,0,-0.00138(24),-0.00031(52),,,,,,,,-3.86(64),1.3(1.9),2.5(3.2),,
179,xpt-ratio_FpiFpi_nnlo,1.1886(45),-0.00404(70),29.65059355027109,1.2817223344372048,0.2340713915890031,0,-0.00136(24),-0.00041(53),,,,,,,,-3.70(61),3.0(1.9),3.1(3.1),,
180,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_bijnens,1.1878(57),-0.00402(70),30.023000210114105,1.0251859630913107,0.4186817044934027,0,-0.00148(31),-3(757)e-06,0.00029(14),0.00032(16),-0.0033(12),-0.00006(10),-0.00033(17),0.00020(10),,-2.9(2.8),-3.1(3.5),1.1(3.5),-2.0(4.2),
