,0
A_22,1(5)
A_2202,1(5)
A_2220,1(5)
A_24,1(5)
A_42,1(5)
L_4,-0.000218(50)
L_5,0.00020(10)
M_202,1(5)
M_220,1(5)
M_400,1(5)
c_a2,-0.6(0.3)
c_a3,0(5)
c_a4,0(5)
c_mpia2,0(2)
