,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
104,xpt_FKFpi_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0.0(3.9),0.0(3.9),0.0(3.2),,
105,xpt_FKFpi_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0(10),0(10),0(12),,0(65)
106,xpt_FKFpi_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(3.9),0.0(3.9),0.0(2.8),0.0(2.8),
107,xpt_FKFpi_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(6.2),0.0(6.2),0.0(8.0),0.0(8.0),0(83)
108,xpt_FKFpi_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.8),0.0(1.8),0.0(4.1),,
109,xpt_FKFpi_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.8),0.0(1.8),0.0(4.1),,0.00(74)
110,xpt_FKFpi_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.5),0.0(3.5),
111,xpt_FKFpi_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.5),0.0(3.5),0.00(44)
112,xpt_FpiFpi_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0.0(3.5),0.0(3.5),0.0(2.7),,
113,xpt_FpiFpi_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.4),0.0(3.4),0.0(2.7),,0.00(12)
114,xpt_FpiFpi_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(3.4),0.0(3.4),0.0(2.3),0.0(2.3),
115,xpt_FpiFpi_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(4.9),0.0(4.9),0.0(7.7),0.0(7.7),0(80)
116,xpt_FpiFpi_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.4),,
117,xpt_FpiFpi_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.4),,0.00(23)
118,xpt_FpiFpi_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(2.9),0.0(2.9),
119,xpt_FpiFpi_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(2.9),0.0(2.9),0.00(12)
