,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
57,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(5.2),0.0(5.2),0.0000(76),0.0000(76),0.00(13)
58,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(5.8),0.0(5.8),0.000(13),0.000(13),
59,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(5.8),0.0(5.8),0.000(17),0.000(17),0.00(29)
60,ma-ratio_FpiFpi_nnlo_FV,,,,,,,0.0000(50),0.0000(50),0.0(6.1),0.0(6.1),0.00(52),,
61,ma-ratio_FpiFpi_nnlo_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(4.4),0.0(4.4),0.0000(66),,0(18)
62,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(5.1),0.0(5.1),0.000(14),,
63,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(5.1),0.0(5.1),0.0000(79),,0.000(58)
64,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(5.7),0.0(5.7),0.000(11),,
65,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(5.7),0.0(5.7),0.0000(22),,0.00(13)
66,ma-ratio_FpiFpi_nnlo_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(6.0),0.0(6.0),0.00(45),0.00(45),
67,ma-ratio_FpiFpi_nnlo_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(4.4),0.0(4.4),0.0000(90),0.0000(90),0(18)
68,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(5.1),0.0(5.1),0.0000(74),0.0000(74),
69,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(5.1),0.0(5.1),0.000(13),0.000(13),0.0000(69)
70,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(5.6),0.0(5.6),0.000(32),0.000(32),
71,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(5.6),0.0(5.6),0.000(24),0.000(24),0.00(36)
72,ma-ratio_FKFK_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0(11),0(11),0.00(14),,
73,ma-ratio_FKFK_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.3),0.0(3.3),0.00(27),,0(51)
74,ma-ratio_FKFK_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0(11),0(11),0.000(28),0.000(28),
75,ma-ratio_FKFK_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.4),0.0(3.4),0.0(2.2),0.0(2.2),0(35)
76,ma-ratio_FKFK_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0(12),0(12),0.000(53),,
77,ma-ratio_FKFK_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.9),0.0(3.9),0.000(33),,0(52)
78,ma-ratio_FKFK_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0(12),0(12),0.000(19),0.000(19),
79,ma-ratio_FKFK_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(4.0),0.0(4.0),0.000(80),0.000(80),0(51)
80,ma-ratio_FKFpi_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.000(17),,
81,ma-ratio_FKFpi_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0(39),0(39),0.0(9.6),,0(825)
82,ma-ratio_FKFpi_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.000(14),0.000(14),
83,ma-ratio_FKFpi_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0(39),0(39),0.0(8.4),0.0(8.4),0(728)
84,ma-ratio_FKFpi_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.000(22),,
85,ma-ratio_FKFpi_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0(37),0(37),0(13),,0(216)
86,ma-ratio_FKFpi_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.0000(73),0.0000(73),
87,ma-ratio_FKFpi_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0(37),0(37),0.0(9.7),0.0(9.7),0(277)
88,ma-ratio_FpiFpi_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0.000(18),0.000(18),0.0(3.1),,
89,ma-ratio_FpiFpi_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0.000(22),0.000(22),0.000(48),,0(39)
90,ma-ratio_FpiFpi_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0.0000(78),0.0000(78),0.0(2.6),0.0(2.6),
91,ma-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.000(23),0.000(23),0.00(98),0.00(98),0(50)
92,ma-ratio_FpiFpi_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0.000(19),0.000(19),0.0(3.0),,
93,ma-ratio_FpiFpi_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0.00(29),0.00(29),0.000(15),,0(37)
94,ma-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.000(25),0.000(25),0.0(2.5),0.0(2.5),
95,ma-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.000(18),0.000(18),0.00(30),0.00(30),0(25)
