,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
45,xpt-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(5.6),0.0(5.6),0.0(3.2),0.0(3.2),0.00(16)
46,xpt-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(4.5),0.0(4.5),0.0(3.1),0.0(3.1),
47,xpt-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(4.5),0.0(4.5),0.0(3.1),0.0(3.1),0.00(73)
48,xpt-ratio_FpiFpi_nnlo,,,,,,,0.0000(50),0.0000(50),0.0(4.1),0.0(4.1),0.0(2.4),,
49,xpt-ratio_FpiFpi_nnlo_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.7),0.0(3.7),0.0(5.4),,0(38)
50,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(4.0),0.0(4.0),0.0(2.7),,
51,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(4.0),0.0(4.0),0.0(2.7),,0.0(2.3)
52,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(2.7),,
53,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(2.6),,0.0(1.1)
54,xpt-ratio_FpiFpi_nnlo_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(4.1),0.0(4.1),0.0(2.0),0.0(2.0),
55,xpt-ratio_FpiFpi_nnlo_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.7),0.0(3.7),0.0(4.6),0.0(4.6),0(40)
56,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(4.0),0.0(4.0),0.0(2.3),0.0(2.3),
57,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(4.0),0.0(4.0),0.0(2.3),0.0(2.3),0.0(3.5)
