,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,eb:disc,eb:chiral,eb:pp_input,eb:stat
15,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.2003(94),-0.00437(74),51.01693457342151,1.6631623869105718,0.0418393194899916,True,,0.00005(282),0.00065(68),0.00024(12),0.00023(11),-0.0027(15),-0.00010(10),-0.00032(17),0.00015(10),,-9(12),-0.9(7.6),1.6(3.8),6(22),71(37),,,,,,0.0021045892783767488,0.0005913381257208089,0.0006373236071905146,0.009072550707568692
16,ma_FpiFpi_nnlo_FV,1.1914(31),-0.00412(69),47.072411539465364,2.8407992535981723,7.743140587180029e-05,True,,-0.0009(34),0.00017(48),,,,,,,,0.56(26),-0.07(6.60),3.7(3.3),,,,,,,,6.115129575736756e-06,0.00039371635410058274,0.0011864863161697775,0.002787116793439389
17,ma_FpiFpi_nnlo_a4_FV,1.2102(54),-0.00465(72),54.63275480719169,1.2360644211654468,0.22570508584602475,True,,0.0005(35),0.00241(83),,,,,,,,-8.2(2.1),-4.6(6.7),6.9(3.5),,120(28),,,,,,0.00014475393718485976,0.00035211389372475494,0.0013220403389898655,0.005169350897756967
18,ma_FpiFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1886(37),-0.00404(69),47.1581437841179,2.7325430590303035,0.00014747704422292442,True,,-0.0002(28),-0.00048(58),0.00029(14),0.00032(16),-0.0035(15),-0.00006(10),-0.00034(17),0.00020(10),,0.67(26),-0.7(7.4),1.9(3.8),,,,,,,,7.615901239278748e-06,0.0003397598899691945,0.0012053625145881071,0.00337819627154728
19,ma_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.2017(46),-0.00441(71),51.958244567065314,1.6319578520334128,0.04802869191416143,True,,0.0005(42),0.00041(63),0.00029(14),0.00034(16),-0.0028(15),-0.00006(10),-0.00033(17),0.00020(10),,-5.3(1.5),-2.4(5.4),1.8(2.6),,80(20),,,,,,7.724636855098278e-05,0.0004200852271190683,0.0003553352227240319,0.0045521409945307725
20,ma_FpiFpi_nnlo_alphaS_FV,1.2276(97),-0.00514(77),52.8258107992971,1.773718652113773,0.025261038464785092,True,,-0.0001(35),0.00163(69),,,,,,,,-33.8(9.0),-2.6(6.7),5.8(3.4),53(14),,,,,,,0.0015161289457347755,0.0009433690747904183,0.00022051310507162583,0.009424780562805
21,ma_FpiFpi_nnlo_alphaS_a4_FV,1.212(12),-0.00470(78),53.17127402810264,1.2341139965111292,0.22718896267579314,True,,0.0005(35),0.00242(83),,,,,,,,-10(12),-4.5(6.7),6.9(3.5),4(22),114(42),,,,,,0.00276639767385759,0.00028196712892444604,0.0012767649698551228,0.011512370196354815
22,ma_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.2168(83),-0.00483(75),51.79293301986292,1.9001607998947,0.013795886108779656,True,,0.0001(37),0.00016(62),0.00029(14),0.00033(16),-0.0030(15),-0.00006(10),-0.00034(17),0.00020(10),,-25.7(7.3),-1.4(6.2),2.0(3.1),40(11),,,,,,,0.0009972947609457287,0.0006843470874381469,0.0010404680236245386,0.008077537896249402
23,ma_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.205(10),-0.00449(76),50.42349690913788,1.6267147463531335,0.04914514905933332,True,,0.0005(42),0.00041(63),0.00029(14),0.00034(16),-0.0028(15),-0.00006(10),-0.00033(17),0.00020(10),,-9(11),-2.4(5.4),1.8(2.7),6(20),72(35),,,,,,0.002175664485320161,0.0005451936683721028,0.0004212360202080455,0.010177494428630356
24,ma-ratio_FKFK_nnlo_FV,1.1823(36),-0.00387(69),48.81165032449732,2.2890578357178355,0.0018371801651850183,True,,0.00094(32),-0.00269(84),,,,,,,,-4.0(1.0),16.0(3.4),-1.2(1.6),,,,,,,,7.508305696732547e-07,0.00017580735085135965,0.0030671013672296642,0.0017804500238963808
