,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,eb:disc,eb:chiral,eb:pp_input,eb:stat
15,ma_FKFK_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.199(11),-0.00434(76),48.91530771846935,1.5393943221935906,0.07142371356035808,True,,-0.0018(43),-0.0001(17),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00033(17),0.00020(10),,-16(19),5.2(8.6),-3.4(7.7),11(26),92(58),21(93),-15(38),-50(60),0.8(63.5),29(35),0.0020095338750960407,0.004253810966922726,0.0006387913938329656,0.010135872244843072
16,ma_FKFpi_n3lo_a4_FV,1.206(11),-0.00453(77),51.074214610568646,1.1815987710942968,0.2697945177435318,True,,-0.0015(34),0.0023(22),,,,,,,,-17(15),-0.004(9.424),3.1(8.4),,119(41),59(92),-14(27),-42(54),27(64),-14(17),0.0007062630141127992,0.005387191267265841,0.0010441752075196283,0.009342302009105852
17,ma_FKFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,1.207(11),-0.00455(77),49.747123771448834,1.2990403826084724,0.18152204351339288,True,,-0.0033(23),-0.0009(21),0.00024(12),0.00022(11),-0.0032(15),-0.00010(10),-0.00033(17),0.00014(10),,-15(15),3.1(9.2),-1.1(8.2),,119(40),44(93),-2(28),-90(66),-17(65),-2(33),0.0006721773291872782,0.006034559383028345,0.00042628569498707536,0.008952254287964671
18,ma_FKFpi_n3lo_alphaS_a4_FV,1.208(14),-0.00459(80),49.78661848338036,1.1776970539057483,0.2731642194957276,True,,-0.0015(34),0.0023(22),,,,,,,,-21(21),0.004(9.424),3.2(8.4),6(25),108(58),62(93),-16(28),-41(54),26(65),-14(17),0.002625770192541392,0.0055451650601898005,0.0009567684985561613,0.011925196340442666
19,ma_FKFpi_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.210(14),-0.00463(80),48.5148323209377,1.2900555423738431,0.1873893610639097,True,,-0.0032(23),-0.0009(21),0.00024(12),0.00022(11),-0.0032(15),-0.00010(10),-0.00033(17),0.00014(10),,-21(21),3.0(9.2),-1.0(8.2),10(25),103(57),49(93),-5(29),-88(67),-17(65),-2(33),0.002615947201208215,0.005988804065700873,0.000316539755586655,0.011772636559646535
20,ma_FpiFpi_n3lo_a4_FV,1.205(12),-0.00451(78),49.41444410975983,1.1458858788865527,0.3016826638855763,True,,-0.0009(45),0.0018(19),,,,,,,,-22(17),0.03(9.37),3.5(8.2),,110(41),84(88),-6(21),-29(36),11(53),-3.1(9.0),0.000596899863048133,0.006054655410479771,0.002601099834231984,0.010130517736401551
21,ma_FpiFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,1.209(13),-0.00462(79),48.189372323880946,1.2094970588992,0.2465230475169217,True,,-0.0037(21),-0.0020(21),0.00029(14),0.00032(16),-0.0032(15),-0.00006(10),-0.00033(17),0.00020(10),,-19(17),3.3(9.2),-0.8(8.7),,113(41),64(88),3(23),-86(55),-40(66),-13(27),0.0006372562357941853,0.007642894460646081,0.0017453161686498755,0.010177323048292356
22,ma_FpiFpi_n3lo_alphaS_a4_FV,1.209(16),-0.00463(83),48.20324443935127,1.1347818256430406,0.3120708062186379,True,,-0.0009(45),0.0018(19),,,,,,,,-29(23),0.07(9.37),3.8(8.3),11(24),94(54),91(88),-7(21),-29(36),10(53),-3.4(8.9),0.003146505016079857,0.006809840945987014,0.002447645615727477,0.0136287086364144
23,ma_FpiFpi_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.214(17),-0.00477(85),47.04943732140782,1.1928510278271394,0.2602345103085481,True,,-0.0037(21),-0.0020(21),0.00029(14),0.00032(16),-0.0033(15),-0.00006(10),-0.00033(17),0.00020(10),,-28(23),3.1(9.2),-0.4(8.7),13(24),93(54),73(89),0.7(23.4),-85(55),-41(66),-14(27),0.0032753350661040475,0.008166085153699484,0.001562488298225394,0.013910724425251954
24,ma-ratio_FKFK_n2lo_a4_FV,1.1926(77),-0.00415(72),47.049387295843445,2.1418063472879547,0.004041085319558596,True,,0.00022(55),-0.0009(15),,,,,,,,-6.1(1.7),9.1(5.6),-2.9(1.7),,54(34),,,,,,0.0002519685410789386,0.003992662767411163,0.0020986301817002527,0.006175567844518233
25,ma-ratio_FKFK_n2lo_log_logSq_sunset_a4_FV_bijnens,1.1899(53),-0.00408(70),47.28154734907383,2.03178524491635,0.007144977647279945,True,,0.00052(38),-0.00169(86),0.00028(14),0.00031(16),-0.0045(15),-0.00005(10),-0.00032(17),0.00021(10),,-6.3(1.7),7.2(4.5),-4.2(2.6),,50(27),,,,,,0.00013400977597934687,0.0018091556974056003,0.0022528606304105235,0.004409296779832182
26,ma-ratio_FKFK_n2lo_alphaS_a4_FV,1.194(10),-0.00421(75),45.60569053075885,2.137565109451692,0.004132146953912022,True,,0.00023(56),-0.0009(15),,,,,,,,-9(13),9.3(5.7),-2.9(1.7),6(23),45(48),,,,,,0.0018575686748759802,0.0035342458667521953,0.002145958580871543,0.00933230550301676
27,ma-ratio_FKFK_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1924(90),-0.00415(73),45.860583141651105,2.0244735385177783,0.007416170096192798,True,,0.00051(38),-0.00168(86),0.00028(14),0.00030(16),-0.0045(15),-0.00005(10),-0.00032(17),0.00021(10),,-11(13),7.2(4.5),-4.3(2.7),8(23),39(42),,,,,,0.0019026527751741925,0.0016809842506337205,0.002287543616239864,0.008278994605139195
28,ma-ratio_FKFpi_n2lo_a4_FV,1.210(11),-0.00465(77),43.94754840258727,2.370702685625358,0.0011730881253918973,True,,-0.00047(53),0.0015(16),,,,,,,,-5.1(1.7),0.9(6.4),5.3(2.0),,77(38),,,,,,0.0004405390885759092,0.0073775055810103626,0.0006883523680101135,0.008388875088502131
29,ma-ratio_FKFpi_n2lo_log_logSq_sunset_a4_FV_bijnens,1.2003(56),-0.00437(71),46.94008196416376,2.01584828187958,0.007748547635826837,True,,0.00012(34),-0.00056(81),0.00023(12),0.00021(11),-0.0050(14),-0.00010(10),-0.00031(17),0.00015(10),,-5.5(1.6),0.4(3.8),-1.0(2.6),,67(26),,,,,,0.00014633376920362902,0.00228888127329368,0.0011025136934524897,0.004860793924675502
30,ma-ratio_FKFpi_n2lo_alphaS_a4_FV,1.210(14),-0.00465(80),42.39877405504304,2.370684916626272,0.001173203649395548,True,,-0.00047(53),0.0015(16),,,,,,,,-5(12),0.9(6.4),5.3(2.0),0.4(21.2),77(50),,,,,,0.0018894570650656922,0.006672430982682149,0.0006917145454192088,0.011556378120867624
31,ma-ratio_FKFpi_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.2035(96),-0.00446(75),45.41951862114875,2.0059901947354266,0.008145594092294511,True,,0.00012(34),-0.00055(81),0.00023(12),0.00021(11),-0.0050(14),-0.00010(10),-0.00031(17),0.00015(10),,-10(11),0.4(3.8),-1.1(2.7),8(20),55(38),,,,,,0.0018275124234564141,0.0022581859583726428,0.0011410984123349775,0.009106702148258549
32,ma-ratio_FpiFpi_n2lo_a4_FV,1.222(17),-0.00497(86),43.4458590742194,2.161006569135735,0.003652197068188061,True,,-0.00070(57),0.0021(17),,,,,,,,-5.8(2.2),-5.0(6.7),4.5(2.2),,100(47),,,,,,0.0008580052997982298,0.012437779206642685,0.0004697567521680666,0.0115691857966811
33,ma-ratio_FpiFpi_n2lo_log_logSq_sunset_a4_FV_bijnens,1.2045(59),-0.00449(72),46.79482783022768,1.9082904083200003,0.013257130110266021,True,,0.00021(30),-0.00079(76),0.00028(14),0.00030(16),-0.0052(14),-0.00006(10),-0.00030(17),0.00021(10),,-5.4(1.6),-1.9(2.6),-1.2(2.0),,68(25),,,,,,0.00015048667711329588,0.0022730360647908268,0.001061049395343553,0.005286685624679238
34,ma-ratio_FpiFpi_n2lo_alphaS_a4_FV,1.222(20),-0.00497(90),41.91896021690975,2.1609899040692566,0.0036525186194775404,True,,-0.00070(58),0.0021(17),,,,,,,,-6(12),-5.0(6.8),4.5(2.2),-0.4(21.8),101(58),,,,,,0.0025538268714794844,0.011679116438059826,0.00047497270405306806,0.015353663691237304
35,ma-ratio_FpiFpi_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.208(11),-0.00460(76),45.21610430923951,1.8959097616184508,0.014085651746987537,True,,0.00020(30),-0.00079(76),0.00028(14),0.00030(16),-0.0052(14),-0.00006(10),-0.00030(17),0.00021(10),,-10(10),-1.9(2.6),-1.3(2.0),8(18),57(35),,,,,,0.001848621132868368,0.002383028405734117,0.001140776139728581,0.010051736219692495
