precision set to :4.01015e-15
m1sq m2sq m3sq qsq mu2: 0.018225 0.245025 0.300304 0.5929
hh, iprop=1,8
 2 4.864073668e-06 4.864073668e-06
 3 7.623151687e-06 7.623151687e-06
 4 8.807639251e-06 8.807639251e-06
 5 -5.020824952e-06 -5.020824952e-06
 6 -5.962574221e-06 -5.962574221e-06
 7 -6.535552557e-06 -6.535552557e-06
 8 9.647422793e-06 9.647422793e-06
hh21d, iprop=1,8
 1 4.419264235e-06 4.419264235e-06
 2 1.311500176e-06 1.311500176e-06
 3 3.879446268e-06 3.879446268e-06
 4 4.484522562e-06 4.484522562e-06
 5 -1.429693665e-06 -1.429693665e-06
 6 -1.700130895e-06 -1.700130895e-06
 7 -3.405727996e-06 -3.405727996e-06
 8 2.909168212e-06 2.909168212e-06
lm = 0, case 3
m1sq m2sq m3sq qsq mu2: 0.018225 0.245025 0.3969 0.5929
hh, iprop=1,8
 1 8.508182629e-05 8.508182629e-05
 2 2.577717241e-05 2.577717241e-05
 3 1.173858276e-05 1.173858276e-05
 4 4.73583015e-05 4.73583015e-05
 5 -0.0002467836929 -0.0002467836929
 6 -0.0002136224597 -0.0002136224597
 7 -0.0001149399209 -0.0001149399209
 8 0.0001435555523 0.0001435555523
hh1, iprop=1,8
 1 3.239892417e-05 3.239892417e-05
 2 -1.59381911e-05 -1.59381911e-05
 3 3.338425411e-06 3.338425411e-06
 4 2.545208714e-05 2.545208714e-05
 5 -2.953137169e-05 -2.953137169e-05
 6 -2.526551712e-05 -2.526551712e-05
 7 -6.01430321e-05 -6.01430321e-05
 8 2.402909642e-05 2.402909642e-05
hh21, iprop=1,8
 1 2.044112193e-05 2.044112193e-05
 2 -7.023703942e-06 -7.023703942e-06
 3 2.271506201e-06 2.271506201e-06
 4 1.798414925e-05 1.798414925e-05
 5 -1.047638964e-05 -1.047638964e-05
 6 -8.947970516e-06 -8.947970516e-06
 7 -4.071867195e-05 -4.071867195e-05
 8 9.09026638e-06 9.09026638e-06
hhd, iprop=1,8
 1 1.59381911e-05 1.59381911e-05
 2 5.972988468e-05 5.972988468e-05
 3 2.953137169e-05 2.953137169e-05
 4 2.526551712e-05 2.526551712e-05
 5 -6.516848158e-05 -6.516848158e-05
 6 -5.435797427e-05 -5.435797427e-05
 7 -2.402909642e-05 -2.402909642e-05
 8 0.0001003041281 0.0001003041281
hh1d, iprop=1,8
 1 7.023703943e-06 7.023703943e-06
 2 5.655473619e-06 5.655473619e-06
 3 1.047638964e-05 1.047638964e-05
 4 8.947970515e-06 8.947970515e-06
 5 -8.16773082e-06 -8.16773082e-06
 6 -6.771099217e-06 -6.771099217e-06
 7 -9.090266379e-06 -9.090266379e-06
 8 1.528527527e-05 1.528527527e-05
hh21d, iprop=1,8
 1 3.856266283e-06 3.856266283e-06
 2 1.538721832e-06 1.538721832e-06
 3 5.350422523e-06 5.350422523e-06
 4 4.566876591e-06 4.566876591e-06
 5 -2.364609374e-06 -2.364609374e-06
 6 -1.957084641e-06 -1.957084641e-06
 7 -4.768572364e-06 -4.768572364e-06
 8 4.70742976e-06 4.70742976e-06
