input used:
# mpi :  0.134976400000000
# mk  :  0.494530000000000
# meta:  0.547300000000000
# fpi :  0.092200000000000
# mu  :  0.770000000000000
# Li set :  fitBE14
#mu : 0.77
#L1r  L2r  L3r :0.000528552266181 0.000814177210776 -0.00307190158082
#L4r  L5r  L6r :0.0003 0.001014976780543 0.000144108338197
#L7r  L8r  L9r :-0.000342935304325 0.000473156165745 0.00593
#L10r H1r  H2r :0 0 0
output for m_pi L = 2
 eps maxonesum maxtwosum  mpi4Vt      mpi4Vb      mpi6LVt       mpi6LVb        mpi6RVt        mpi6RVb
 eps maxonesum maxtwosum  mpi4Vt      mpi4Vb      mpi6LVt       mpi6LVb        mpi6RVt        mpi6RVb
      10    1    1   5.79809e-05   3.97134e-05   1.30634e-05   9.19122e-06   1.13491e-05   7.22745e-06
       1    2    2   5.79809e-05   5.29568e-05   1.30634e-05   1.20329e-05   1.13374e-05   9.22054e-06
     0.1    5    5   5.79809e-05   5.71994e-05   1.30634e-05   1.29083e-05   9.35797e-06   9.77034e-06
    0.01   10   10   5.79809e-05   5.78969e-05   1.30634e-05   1.30479e-05   9.80173e-06   9.81913e-06
   0.001   20   20   5.79507e-05   5.79508e-05   1.30569e-05   1.30585e-05   9.82215e-06   9.81622e-06
  0.0001   40   40   5.79522e-05   5.79522e-05   1.30594e-05   1.30588e-05     9.816e-06   9.81634e-06
   1e-05   80   40   5.79522e-05   5.79522e-05   1.30588e-05   1.30588e-05   9.81628e-06   9.81627e-06
 eps maxonesum maxtwosum   mk4Vt       mk4Vb       mk6LVt        mk6LVb         mk6RVt         mk6RVb
      10    1    1   5.80439e-08   6.49052e-08   7.00632e-05   4.86152e-05   2.24882e-05   2.67151e-05
       1    2    2   5.80439e-08   6.54013e-08   7.00632e-05    6.4257e-05   9.52412e-06   3.17149e-05
     0.1    5    5   5.80439e-08   6.54066e-08   7.00632e-05   6.92129e-05   2.28923e-05   3.30709e-05
    0.01   10   10   5.80439e-08   6.54066e-08   7.00632e-05   7.00213e-05   3.88762e-05     3.347e-05
   0.001   20   20   5.80439e-08   6.54066e-08   7.00453e-05   7.00834e-05   3.32411e-05   3.32975e-05
  0.0001   40   40   6.73712e-08   6.54066e-08   7.00983e-05   7.00851e-05   3.33856e-05   3.33908e-05
   1e-05   80   40    6.5425e-08   6.54066e-08   7.00852e-05   7.00851e-05   3.33863e-05    3.3393e-05
 eps maxonesum maxtwosum meta4Vt     meta4Vb     meta6LVt      meta6LVb       meta6RVt       meta6RVb
      10    1    1  -5.73692e-05  -3.90947e-05  -2.35819e-05  -1.75271e-05   2.48996e-05   1.71843e-05
       1    2    2  -5.73692e-05  -5.23297e-05  -2.35819e-05  -2.21067e-05   2.48691e-05   2.23579e-05
     0.1    5    5  -5.73692e-05  -5.65721e-05  -2.35819e-05  -2.32705e-05   2.41863e-05   2.38047e-05
    0.01   10   10  -5.73692e-05  -5.72695e-05  -2.35819e-05  -2.34243e-05   2.40193e-05   2.40082e-05
   0.001   20   20   -5.7339e-05  -5.73235e-05    -2.351e-05  -2.34343e-05   2.40295e-05   2.40248e-05
  0.0001   40   40  -5.73174e-05  -5.73249e-05  -2.34059e-05  -2.34345e-05    2.4024e-05   2.40253e-05
   1e-05   80   40  -5.73249e-05  -5.73249e-05  -2.34343e-05  -2.34345e-05   2.40253e-05   2.40253e-05
 eps maxonesum maxtwosum  fpi4Vt      fpi4Vb      fpi6LVt       fpi6LVb        fpi6RVt        fpi6RVb
      10    1    1  -0.000586994  -0.000402106   -4.0021e-05  -2.80289e-05  -3.30204e-05  -2.14423e-05
       1    2    2  -0.000586994  -0.000536151   -4.0021e-05  -3.68103e-05  -3.30108e-05  -2.80052e-05
     0.1    5    5  -0.000586994  -0.000579093   -4.0021e-05  -3.95348e-05  -2.93803e-05  -3.02292e-05
    0.01   10   10  -0.000586994  -0.000586152   -4.0021e-05  -3.99721e-05  -3.05883e-05  -3.06016e-05
   0.001   20   20  -0.000586689  -0.000586698   -4.0001e-05  -4.00053e-05  -3.06349e-05  -3.06278e-05
  0.0001   40   40  -0.000586715  -0.000586712  -4.00077e-05  -4.00062e-05  -3.06306e-05  -3.06317e-05
   1e-05   80   40  -0.000586712  -0.000586712  -4.00062e-05  -4.00062e-05  -3.06314e-05  -3.06314e-05
 eps maxonesum maxtwosum   fk4Vt       fk4Vb       fk6LVt        fk6LVb         fk6RVt         fk6RVb
      10    1    1   -0.00022028  -0.000150955  -4.01578e-05  -2.76332e-05  -9.52219e-06   -8.8211e-06
       1    2    2   -0.00022028  -0.000201224  -4.01578e-05  -3.67316e-05  -8.10729e-06   -1.1612e-05
     0.1    5    5   -0.00022028  -0.000217327  -4.01578e-05  -3.96358e-05  -1.19454e-05  -1.28765e-05
    0.01   10   10   -0.00022028  -0.000219974  -4.01578e-05   -4.0112e-05  -1.26357e-05  -1.17392e-05
   0.001   20   20  -0.000220166  -0.000220179  -4.01404e-05  -4.01488e-05  -1.26002e-05  -1.25974e-05
  0.0001   40   40  -0.000220188  -0.000220184  -4.01526e-05  -4.01497e-05  -1.26141e-05  -1.26146e-05
   1e-05   80   40  -0.000220184  -0.000220184  -4.01498e-05  -4.01498e-05  -1.26144e-05  -1.26145e-05
 eps maxonesum maxtwosum feta4Vt     feta4Vb     feta6LVt      feta6LVb       feta6RVt       feta6RVb
      10    1    1  -3.50163e-07  -3.61965e-07  -4.01443e-06  -2.54224e-06   1.20827e-06   8.61088e-07
       1    2    2  -3.50163e-07  -3.66459e-07  -4.01443e-06  -3.58107e-06   1.20602e-06   1.04552e-06
     0.1    5    5  -3.50163e-07  -3.66528e-07  -4.01443e-06  -3.95765e-06   1.15069e-06   1.08085e-06
    0.01   10   10  -3.50163e-07  -3.66528e-07  -4.01443e-06  -4.02496e-06   1.09296e-06    1.0789e-06
   0.001   20   20  -3.50163e-07  -3.66528e-07  -4.02093e-06  -4.03044e-06   1.07413e-06   1.07422e-06
  0.0001   40   40  -3.72395e-07  -3.66528e-07  -4.03423e-06   -4.0306e-06   1.07422e-06    1.0742e-06
   1e-05   80   40  -3.66577e-07  -3.66528e-07  -4.03063e-06   -4.0306e-06   1.07422e-06   1.07419e-06
output for m_pi L = 4
 eps maxonesum maxtwosum  mpi4Vt      mpi4Vb      mpi6LVt       mpi6LVb        mpi6RVt        mpi6RVb
      10    1    1   1.17749e-05   9.25989e-06   2.52248e-06   2.00727e-06   1.24924e-06   9.75341e-07
       1    2    2   1.17749e-05   1.13129e-05   2.52248e-06   2.43065e-06   1.24924e-06   1.10096e-06
     0.1    5    5   1.17749e-05   1.17262e-05   2.52248e-06   2.51375e-06   1.11947e-06   1.11437e-06
    0.01   10   10   1.17749e-05   1.17606e-05   2.52261e-06    2.5205e-06   1.11342e-06   1.11251e-06
   0.001   20   20   1.17609e-05   1.17616e-05   2.52028e-06    2.5207e-06   1.11211e-06   1.11268e-06
  0.0001   40   40   1.17616e-05   1.17616e-05   2.52052e-06    2.5207e-06   1.11274e-06   1.11265e-06
   1e-05   80   40   1.17616e-05   1.17616e-05   2.52073e-06    2.5207e-06   1.11263e-06   1.11264e-06
 eps maxonesum maxtwosum   mk4Vt       mk4Vb       mk6LVt        mk6LVb         mk6RVt         mk6RVb
      10    1    1   4.70322e-10   7.25729e-10   1.39016e-05   1.09727e-05   3.40801e-06   3.58429e-06
       1    2    2   4.70322e-10   7.26766e-10   1.39016e-05   1.33706e-05   3.54809e-06   3.98557e-06
     0.1    5    5   4.70322e-10   7.26769e-10   1.39016e-05   1.38501e-05   3.58687e-06   4.13057e-06
    0.01   10   10   4.70322e-10   7.26769e-10   1.39018e-05   1.38897e-05   4.07102e-06   4.02225e-06
   0.001   20   20   4.70322e-10   7.26769e-10   1.38863e-05   1.38909e-05   4.12585e-06   4.04068e-06
  0.0001   40   40   4.70322e-10   7.26769e-10   1.38875e-05   1.38909e-05   4.03766e-06    4.0386e-06
   1e-05   80   40   4.70322e-10   7.26769e-10   1.38909e-05   1.38909e-05   4.03903e-06   4.03867e-06
 eps maxonesum maxtwosum meta4Vt     meta4Vb     meta6LVt      meta6LVb       meta6RVt       meta6RVb
      10    1    1  -1.17671e-05  -9.24871e-06  -4.03403e-06  -3.36601e-06   4.63843e-06   3.62551e-06
       1    2    2  -1.17671e-05  -1.13017e-05  -4.03403e-06  -3.92746e-06   4.63095e-06   4.35639e-06
