Overall outputs:
mpi4       : -5.7151530642976e-05
mpi6       : -0.00033694341543621
mk4        : -0.015050847692154
mk6        : 0.0043687133653717
meta4      : -0.055745035074627
meta6      : 0.060333198195742
fpi4       : 0.20648807379463
fpi6       : -0.01644705812193
fk4        : 0.37298498372318
fk6        : -0.027813796619993
feta4      : 0.45009760861318
feta6      : -0.029045700517145
qqup4      : 0.40132345015081
qqup6      : -0.0235678261116
qqstrange4 : 0.75270367086706
qqstrange6 : -0.43679387077012
The Li,Ci and pure loop parts
mpi4L       : -0.00011229132090852
mpi4R       : 5.5139790265549e-05
mpi6L       : -0.0021029618143495
mpi6C       : -0.002377131168802
mpi6R       : 0.0041431495677152
mk4L        : -0.0037783096132764
mk4R        : -0.011272538078878
mk6L        : -0.038397835007833
mk6C        : -0.026056536671372
mk6R        : 0.068823085044577
meta4L      : -0.03915343026447
meta4R      : -0.016591604810157
meta6L      : -0.061377092825041
meta6C      : -0.0064299263555378
meta6R      : 0.12814021737632
fpi4L       : 0.071834791024887
fpi4R       : 0.13465328276974
fpi6L       : 0.052147798488016
fpi6C       : 0.05518186140281
fpi6R       : -0.12377671801276
fk4L        : 0.1641976780543
fk4R        : 0.20878730566888
fk6L        : 0.092386341195571
fk6C        : 0.01673439711212
fk6R        : -0.13693453492768
feta4L      : 0.1949853070641
feta4R      : 0.25511230154907
feta6L      : 0.10718178881824
feta6C      : -0.00015873686529667
feta6R      : -0.13606875247009
qqup4L      : 0.1289913817161
qqup4R      : 0.27233206843471
qqup6L      : 0.0060975887477637
qqup6C      : -0.02165152656603
qqup6R      : -0.0080138882933339
qqstrange4L : 0.30122022604728
qqstrange4R : 0.45148344481978
qqstrange6L : -0.044271894180885
qqstrange6C : -0.38012372556003
qqstrange6R : -0.0123982510292
