A  number of results for mpi L=3, theta and Bessel
standard cases
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1   1.63011e-09   1.35108e-09  -3.39694e-09  -2.67907e-09 
    0.01   2   1.72777e-09    1.6548e-09  -3.46398e-09  -3.35768e-09 
   0.001   5   1.72713e-09    1.7197e-09  -3.56663e-09  -3.53969e-09 
  0.0001  10   1.72746e-09   1.72705e-09  -3.56702e-09   -3.5652e-09 
   1e-05  20   1.72747e-09   1.72746e-09  -3.56701e-09  -3.56697e-09 
   1e-06  40   1.72747e-09   1.72747e-09  -3.56701e-09  -3.56701e-09 
case propagator = 2
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1  -6.00238e-06  -7.47613e-06   1.86123e-07   1.46263e-07 
    0.01   2  -5.99596e-06  -6.53661e-06    2.1354e-07   1.95285e-07 
   0.001   5  -6.00638e-06  -6.11464e-06    2.1381e-07   2.11015e-07 
  0.0001  10  -6.00616e-06  -6.01715e-06   2.13814e-07   2.13606e-07 
   1e-05  20  -6.00616e-06  -6.00656e-06   2.13814e-07   2.13808e-07 
   1e-06  40  -6.00616e-06  -6.00617e-06   2.13814e-07   2.13814e-07 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1    2.7691e-09   2.09458e-09   3.59118e-08   4.14814e-08 
    0.01   2   2.68648e-09   2.57381e-09   3.52991e-08   3.70507e-08 
   0.001   5   2.68565e-09   2.67411e-09   3.53438e-08   3.56013e-08 
  0.0001  10   2.68585e-09   2.68528e-09   3.53403e-08   3.53597e-08 
   1e-05  20    2.6859e-09   2.68589e-09   3.53404e-08   3.53409e-08 
   1e-06  40    2.6859e-09    2.6859e-09   3.53404e-08   3.53404e-08 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1  -6.28476e-08  -7.40297e-08    1.7889e-05   1.03116e-05 
    0.01   2  -6.12561e-08  -6.55694e-08   1.82624e-05   1.54228e-05 
   0.001   5    -6.126e-08  -6.20851e-08    1.8265e-05   1.76891e-05 
  0.0001  10  -6.12577e-08   -6.1337e-08   1.82666e-05   1.82087e-05 
   1e-05  20  -6.12577e-08  -6.12605e-08   1.82669e-05   1.82648e-05 
   1e-06  40  -6.12577e-08  -6.12577e-08   1.82669e-05   1.82669e-05 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1   1.86123e-07   1.46263e-07   4.03056e-09   3.19134e-09 
    0.01   2    2.1354e-07   1.95285e-07   4.09165e-09   3.92313e-09 
   0.001   5    2.1381e-07   2.11015e-07   4.08681e-09   4.06711e-09 
  0.0001  10   2.13814e-07   2.13606e-07   4.08669e-09   4.08572e-09 
   1e-05  20   2.13814e-07   2.13808e-07   4.08668e-09   4.08666e-09 
   1e-06  40   2.13814e-07   2.13814e-07   4.08668e-09   4.08668e-09 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1  -9.16795e-08  -7.20568e-08   1.63099e-07   1.09274e-07 
    0.01   2  -1.05429e-07  -9.63534e-08   1.79354e-07   1.56151e-07 
   0.001   5  -1.05565e-07  -1.04171e-07   1.79486e-07   1.75063e-07 
  0.0001  10  -1.05563e-07  -1.05461e-07   1.79492e-07   1.79072e-07 
   1e-05  20  -1.05564e-07  -1.05561e-07   1.79493e-07   1.79479e-07 
   1e-06  40  -1.05564e-07  -1.05564e-07   1.79493e-07   1.79493e-07 
case propagator = 3
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1    6.7027e-07   4.60579e-07   7.48162e-09   6.03371e-09 
    0.01   2   6.71255e-07   6.13425e-07    7.4075e-09   7.20906e-09 
   0.001   5   6.70832e-07   6.62397e-07   7.50072e-09   7.47028e-09 
  0.0001  10   6.71034e-07   6.70391e-07   7.50056e-09   7.49907e-09 
   1e-05  20   6.71032e-07   6.71015e-07   7.50069e-09   7.50066e-09 
   1e-06  40   6.71031e-07   6.71031e-07   7.50069e-09   7.50069e-09 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1   3.98573e-10   3.57906e-10  -5.11347e-09  -4.02095e-09 
    0.01   2   3.92353e-10   3.93028e-10   -5.1444e-09  -4.91812e-09 
   0.001   5   3.96744e-10   3.97562e-10  -5.14439e-09   -5.1203e-09 
  0.0001  10   3.96693e-10   3.96687e-10  -5.14432e-09  -5.14298e-09 
   1e-05  20   3.96696e-10   3.96697e-10  -5.14427e-09  -5.14421e-09 
   1e-06  40   3.96697e-10   3.96697e-10  -5.14424e-09  -5.14424e-09 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1    1.1248e-08   8.48323e-09   4.19284e-07   2.89568e-07 
    0.01   2   1.12608e-08   1.06109e-08   4.21805e-07   3.85998e-07 
   0.001   5   1.12627e-08   1.11777e-08   4.22545e-07   4.17017e-07 
  0.0001  10   1.12623e-08   1.12569e-08   4.22556e-07   4.22147e-07 
   1e-05  20   1.12624e-08   1.12623e-08   4.22555e-07   4.22544e-07 
   1e-06  40   1.12624e-08   1.12624e-08   4.22555e-07   4.22555e-07 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1   7.48162e-09   6.03371e-09   1.49153e-09   1.41775e-09 
    0.01   2    7.4075e-09   7.20906e-09   1.47637e-09   1.46569e-09 
   0.001   5   7.50072e-09   7.47028e-09   1.47822e-09   1.47655e-09 
  0.0001  10   7.50056e-09   7.49907e-09   1.47855e-09   1.47855e-09 
   1e-05  20   7.50069e-09   7.50066e-09   1.47857e-09   1.47857e-09 
   1e-06  40   7.50069e-09   7.50069e-09   1.47857e-09   1.47857e-09 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1  -3.54695e-09  -2.84266e-09   6.99719e-09   5.24865e-09 
    0.01   2  -3.53616e-09  -3.40836e-09   6.99164e-09   6.57681e-09 
   0.001   5  -3.55185e-09  -3.53669e-09   6.98955e-09   6.93553e-09 
  0.0001  10  -3.55197e-09   -3.5512e-09   6.98946e-09   6.98591e-09 
   1e-05  20    -3.552e-09  -3.55198e-09   6.98946e-09   6.98938e-09 
   1e-06  40    -3.552e-09    -3.552e-09   6.98946e-09   6.98946e-09 
case propagator = 4
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1   6.23415e-07   4.29407e-07   6.75995e-09   5.55069e-09 
    0.01   2   6.25927e-07   5.72082e-07   6.88369e-09   6.64428e-09 
   0.001   5    6.2575e-07   6.17833e-07   6.90998e-09   6.88149e-09 
  0.0001  10   6.25949e-07   6.25353e-07   6.90968e-09   6.90825e-09 
   1e-05  20    6.2595e-07   6.25934e-07   6.90969e-09   6.90965e-09 
   1e-06  40    6.2595e-07    6.2595e-07   6.90969e-09   6.90969e-09 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1    4.0482e-10   4.72972e-10  -4.96416e-09  -3.93749e-09 
    0.01   2   4.95308e-10   4.89493e-10   -4.9814e-09  -4.77877e-09 
   0.001   5   4.92956e-10   4.89536e-10  -4.98777e-09  -4.96771e-09 
  0.0001  10   4.93347e-10   4.93315e-10  -4.99024e-09  -4.98901e-09 
   1e-05  20   4.93328e-10   4.93329e-10  -4.99019e-09  -4.99017e-09 
   1e-06  40   4.93329e-10   4.93329e-10  -4.99019e-09  -4.99019e-09 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1   1.04961e-08   7.94001e-09   3.79079e-07   2.64803e-07 
    0.01   2   1.05271e-08   9.92582e-09   3.85905e-07   3.53467e-07 
   0.001   5   1.05347e-08   1.04551e-08    3.8689e-07   3.81989e-07 
  0.0001  10   1.05344e-08   1.05293e-08   3.87063e-07     3.867e-07 
   1e-05  20   1.05344e-08   1.05344e-08   3.87063e-07   3.87053e-07 
   1e-06  40   1.05345e-08   1.05345e-08   3.87063e-07   3.87063e-07 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1   6.75995e-09   5.55069e-09   8.36439e-10   9.10914e-10 
    0.01   2   6.88369e-09   6.64428e-09   9.01901e-10   9.41311e-10 
   0.001   5   6.90998e-09   6.88149e-09    9.5249e-10   9.51048e-10 
  0.0001  10   6.90968e-09   6.90825e-09   9.51943e-10   9.51936e-10 
   1e-05  20   6.90969e-09   6.90965e-09   9.51947e-10   9.51946e-10 
   1e-06  40   6.90969e-09   6.90969e-09   9.51947e-10   9.51947e-10 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1  -3.18107e-09  -2.54046e-09   6.30853e-09   4.80764e-09 
    0.01   2  -3.19717e-09  -3.07592e-09   6.38921e-09    6.0291e-09 
   0.001   5  -3.20808e-09  -3.19412e-09    6.4077e-09   6.35809e-09 
  0.0001  10  -3.20817e-09  -3.20746e-09    6.4078e-09   6.40454e-09 
   1e-05  20  -3.20818e-09  -3.20816e-09   6.40778e-09   6.40771e-09 
   1e-06  40  -3.20818e-09  -3.20818e-09   6.40779e-09   6.40779e-09 
case propagator = 5
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1  -5.63287e-05  -3.23514e-05  -4.19376e-07  -2.89646e-07 
    0.01   2  -5.71394e-05  -4.82495e-05  -4.21803e-07  -3.86033e-07 
   0.001   5  -5.70881e-05    -5.529e-05  -4.22546e-07  -4.17017e-07 
  0.0001  10  -5.70838e-05  -5.69027e-05  -4.22556e-07  -4.22147e-07 
   1e-05  20  -5.70834e-05  -5.70768e-05  -4.22555e-07  -4.22544e-07 
   1e-06  40  -5.70834e-05  -5.70833e-05  -4.22555e-07  -4.22555e-07 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1  -1.19323e-08  -9.93888e-09   3.31365e-07   2.27273e-07 
    0.01   2  -1.19635e-08  -1.16713e-08   3.31985e-07    3.0311e-07 
   0.001   5  -1.20342e-08  -1.19854e-08   3.31687e-07   3.27465e-07 
  0.0001  10  -1.20342e-08  -1.20317e-08   3.31767e-07   3.31446e-07 
   1e-05  20  -1.20342e-08  -1.20341e-08   3.31765e-07   3.31757e-07 
   1e-06  40  -1.20342e-08  -1.20342e-08   3.31765e-07   3.31765e-07 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1  -5.59416e-07  -3.45378e-07  -3.51971e-05  -1.99677e-05 
    0.01   2  -5.65127e-07  -4.92046e-07  -3.55371e-05  -2.99495e-05 
   0.001   5   -5.6476e-07  -5.51005e-07  -3.55243e-05  -3.43893e-05 
  0.0001  10  -5.64753e-07   -5.6344e-07  -3.55253e-05  -3.54104e-05 
   1e-05  20  -5.64749e-07  -5.64704e-07  -3.55253e-05  -3.55211e-05 
   1e-06  40  -5.64749e-07  -5.64749e-07  -3.55253e-05  -3.55253e-05 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1  -4.19376e-07  -2.89646e-07  -2.51165e-08  -2.07433e-08 
    0.01   2  -4.21803e-07  -3.86033e-07  -2.57141e-08  -2.57513e-08 
   0.001   5  -4.22546e-07  -4.17017e-07  -2.56935e-08   -2.5609e-08 
  0.0001  10  -4.22556e-07  -4.22147e-07  -2.57167e-08  -2.57109e-08 
   1e-05  20  -4.22555e-07  -4.22544e-07  -2.57169e-08  -2.57168e-08 
   1e-06  40  -4.22555e-07  -4.22555e-07  -2.57169e-08  -2.57169e-08 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1   2.03686e-07   1.39867e-07   -3.4392e-07  -2.08098e-07 
    0.01   2   2.04952e-07   1.87237e-07  -3.43215e-07  -2.98797e-07 
   0.001   5    2.0526e-07   2.02516e-07  -3.44401e-07  -3.35705e-07 
  0.0001  10    2.0526e-07   2.05058e-07  -3.44401e-07  -3.43571e-07 
   1e-05  20   2.05261e-07   2.05255e-07  -3.44402e-07  -3.44373e-07 
   1e-06  40   2.05261e-07   2.05261e-07  -3.44402e-07  -3.44402e-07 
case propagator = 6
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1  -5.30076e-05  -3.02101e-05   -3.7909e-07  -2.64794e-07 
    0.01   2  -5.33757e-05  -4.50555e-05  -3.85902e-07  -3.53471e-07 
   0.001   5  -5.33239e-05  -5.16466e-05   -3.8689e-07  -3.81982e-07 
  0.0001  10  -5.33236e-05  -5.31538e-05  -3.87063e-07    -3.867e-07 
   1e-05  20  -5.33224e-05  -5.33163e-05  -3.87063e-07  -3.87053e-07 
   1e-06  40  -5.33224e-05  -5.33224e-05  -3.87063e-07  -3.87063e-07 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1  -1.00622e-08  -8.28535e-09   3.08329e-07   2.11908e-07 
    0.01   2   -1.0227e-08  -9.79984e-09    3.0951e-07   2.82718e-07 
   0.001   5  -1.02046e-08  -1.01496e-08   3.09437e-07   3.05476e-07 
  0.0001  10  -1.02056e-08  -1.02036e-08    3.0952e-07   3.09222e-07 
   1e-05  20  -1.02056e-08  -1.02054e-08    3.0952e-07   3.09512e-07 
   1e-06  40  -1.02056e-08  -1.02056e-08    3.0952e-07    3.0952e-07 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1  -5.30568e-07  -3.22694e-07  -3.22695e-05  -1.83971e-05 
    0.01   2  -5.27873e-07  -4.59713e-07  -3.26778e-05  -2.75882e-05 
   0.001   5  -5.27623e-07  -5.14787e-07  -3.27243e-05  -3.16783e-05 
  0.0001  10  -5.27652e-07  -5.26429e-07  -3.27239e-05  -3.26187e-05 
   1e-05  20  -5.27651e-07  -5.27609e-07   -3.2724e-05  -3.27202e-05 
   1e-06  40  -5.27651e-07  -5.27651e-07   -3.2724e-05   -3.2724e-05 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1   -3.7909e-07  -2.64794e-07  -2.32084e-08  -1.78423e-08 
    0.01   2  -3.85902e-07  -3.53471e-07   -2.2634e-08   -2.1117e-08 
   0.001   5   -3.8689e-07  -3.81982e-07  -2.26263e-08  -2.25652e-08 
  0.0001  10  -3.87063e-07    -3.867e-07  -2.26418e-08  -2.26355e-08 
   1e-05  20  -3.87063e-07  -3.87053e-07  -2.26415e-08  -2.26414e-08 
   1e-06  40  -3.87063e-07  -3.87063e-07  -2.26414e-08  -2.26414e-08 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1   1.84383e-07   1.28294e-07  -3.07341e-07  -1.91884e-07 
    0.01   2     1.879e-07   1.71828e-07  -3.16484e-07  -2.75293e-07 
   0.001   5   1.88423e-07   1.85914e-07  -3.17408e-07    -3.093e-07 
  0.0001  10   1.88429e-07   1.88242e-07  -3.17407e-07  -3.16642e-07 
   1e-05  20   1.88429e-07   1.88424e-07  -3.17407e-07   -3.1738e-07 
   1e-06  40   1.88429e-07   1.88429e-07  -3.17407e-07  -3.17407e-07 
case propagator = 7
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1  -8.27378e-07  -5.78353e-07  -2.79248e-08  -2.39759e-08 
    0.01   2  -8.35159e-07  -7.66998e-07   -2.8371e-08  -2.75485e-08 
   0.001   5     -8.38e-07  -8.27329e-07  -2.84022e-08  -2.83183e-08 
  0.0001  10  -8.38024e-07   -8.3723e-07     -2.84e-08  -2.83969e-08 
   1e-05  20  -8.38018e-07  -8.37997e-07  -2.83999e-08  -2.83998e-08 
   1e-06  40  -8.38018e-07  -8.38018e-07  -2.83999e-08  -2.83999e-08 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1   -6.0984e-09  -5.91786e-09   7.15679e-09   5.81048e-09 
    0.01   2  -6.08531e-09  -6.13657e-09   7.18182e-09   6.92446e-09 
   0.001   5  -6.16344e-09  -6.16668e-09   7.20519e-09   7.17549e-09 
  0.0001  10   -6.1603e-09  -6.16014e-09   7.20514e-09   7.20363e-09 
   1e-05  20  -6.16015e-09  -6.16016e-09   7.20519e-09   7.20516e-09 
   1e-06  40  -6.16015e-09  -6.16015e-09   7.20519e-09   7.20519e-09 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1  -1.43042e-08  -1.09221e-08  -1.24271e-06  -8.48036e-07 
    0.01   2  -1.43191e-08  -1.35493e-08  -1.23541e-06  -1.12925e-06 
   0.001   5  -1.43536e-08  -1.42494e-08  -1.23531e-06  -1.21906e-06 
  0.0001  10  -1.43546e-08  -1.43478e-08  -1.23534e-06  -1.23414e-06 
   1e-05  20  -1.43546e-08  -1.43545e-08  -1.23534e-06  -1.23531e-06 
   1e-06  40  -1.43546e-08  -1.43546e-08  -1.23534e-06  -1.23534e-06 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1  -2.79248e-08  -2.39759e-08    -7.878e-09  -7.02469e-09 
    0.01   2   -2.8371e-08  -2.75485e-08  -7.45678e-09  -7.50735e-09 
   0.001   5  -2.84022e-08  -2.83183e-08  -7.66424e-09  -7.67605e-09 
  0.0001  10     -2.84e-08  -2.83969e-08  -7.68253e-09  -7.68252e-09 
   1e-05  20  -2.83999e-08  -2.83998e-08   -7.6826e-09   -7.6826e-09 
   1e-06  40  -2.83999e-08  -2.83999e-08   -7.6826e-09  -7.68261e-09 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1   1.08935e-08   9.03067e-09  -1.94395e-08  -1.51621e-08 
    0.01   2   1.11203e-08    1.0706e-08  -1.98242e-08  -1.90272e-08 
   0.001   5   1.11196e-08   1.10756e-08  -2.02335e-08  -2.00695e-08 
  0.0001  10   1.11199e-08   1.11184e-08  -2.02286e-08  -2.02182e-08 
   1e-05  20   1.11199e-08   1.11198e-08  -2.02286e-08  -2.02283e-08 
   1e-06  40   1.11199e-08   1.11199e-08  -2.02285e-08  -2.02285e-08 
case propagator = 8
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1   6.84574e-05   3.92127e-05    1.2426e-06   8.47578e-07 
    0.01   2   6.94789e-05   5.86573e-05   1.23545e-06   1.12865e-06 
   0.001   5    6.9484e-05   6.72863e-05   1.23531e-06   1.21909e-06 
  0.0001  10   6.94845e-05   6.92629e-05   1.23534e-06   1.23414e-06 
   1e-05  20   6.94847e-05   6.94766e-05   1.23534e-06   1.23531e-06 
   1e-06  40   6.94846e-05   6.94846e-05   1.23534e-06   1.23534e-06 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1   5.29073e-08   4.52926e-08  -3.99328e-07  -2.77196e-07 
    0.01   2   5.61345e-08    5.3071e-08  -4.04122e-07  -3.69725e-07 
   0.001   5   5.60463e-08   5.58415e-08  -4.04758e-07  -3.99505e-07 
  0.0001  10   5.60337e-08   5.60307e-08  -4.04809e-07  -4.04417e-07 
   1e-05  20   5.60414e-08   5.60408e-08  -4.04809e-07  -4.04798e-07 
   1e-06  40    5.6041e-08    5.6041e-08  -4.04809e-07  -4.04809e-07 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1   6.70531e-07   4.15206e-07   0.000102178   5.76607e-05 
    0.01   2   6.79649e-07   5.93327e-07   0.000102566   8.63163e-05 
   0.001   5   6.81989e-07   6.65178e-07    0.00010252   9.92131e-05 
  0.0001  10   6.82039e-07   6.80431e-07   0.000102538   0.000102207 
   1e-05  20   6.82037e-07   6.81982e-07   0.000102539   0.000102527 
   1e-06  40   6.82037e-07   6.82037e-07   0.000102539   0.000102539 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1    1.2426e-06   8.47578e-07   1.66039e-07   1.30998e-07 
    0.01   2   1.23545e-06   1.12865e-06   1.70405e-07   1.58397e-07 
   0.001   5   1.23531e-06   1.21909e-06   1.67945e-07      1.67e-07 
  0.0001  10   1.23534e-06   1.23414e-06   1.67907e-07   1.67855e-07 
   1e-05  20   1.23534e-06   1.23531e-06   1.67894e-07   1.67893e-07 
   1e-06  40   1.23534e-06   1.23534e-06   1.67893e-07   1.67893e-07 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1  -5.93158e-07  -4.00911e-07   9.82128e-07    5.8509e-07 
    0.01   2  -5.88911e-07  -5.37656e-07   9.77444e-07   8.45807e-07 
   0.001   5  -5.89657e-07  -5.81715e-07   9.77449e-07   9.52122e-07 
  0.0001  10  -5.89651e-07  -5.89056e-07    9.7743e-07   9.74989e-07 
   1e-05  20  -5.89651e-07  -5.89635e-07   9.77428e-07   9.77343e-07 
   1e-06  40  -5.89651e-07  -5.89651e-07   9.77428e-07   9.77427e-07 
